buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
16150.0,323.0,100.0,19.0,26.835629733283795,32300,16150.0,1419.0837371349335
16200.0,324.0,100.0,19.0,28.882516312549804,32400,16200.0,1422.5460398197174
16250.0,325.0,100.0,14.0,28.294542240777467,32500,16250.0,1426.0802907943726
16300.0,326.0,100.0,17.0,29.904516395456497,32600,16300.0,1429.4242680072784
16350.0,327.0,100.0,13.0,28.494147268465998,32700,16350.0,1432.9337615966797
16400.0,328.0,100.0,23.0,28.907604030368013,32800,16400.0,1436.3930594921112
16450.0,329.0,100.0,25.0,29.260114587530655,32900,16450.0,1439.8106815814972
16500.0,330.0,100.0,20.0,29.463587324438652,33000,16500.0,1443.2047019004822
16550.0,331.0,100.0,23.0,27.342215106489363,33100,16550.0,1446.8620505332947
16600.0,332.0,100.0,18.0,31.614166883869547,33200,16600.0,1450.025190114975
16650.0,333.0,100.0,12.0,28.399113638122525,33300,16650.0,1453.546427488327
